,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
0,2015-12-24,4,10,0,1,0,0,0
1,2015-12-25,9,13,0,2,0,0,0
2,2015-12-26,23,13,0,2,0,0,0
3,2015-12-27,27,13,0,2,0,0,0
4,2015-12-28,28,13,0,2,0,0,0
5,2015-12-31,54,17,0,2,0,0,0
6,2016-01-01,76,17,0,2,0,0,0
7,2016-01-02,80,17,0,2,0,0,0
8,2016-01-03,93,17,0,2,0,0,0
9,2016-01-04,100,18,0,2,0,0,0
10,2016-01-05,106,18,0,2,0,0,0
11,2016-01-06,133,30,1,2,1,0,0
12,2016-01-08,147,36,2,2,1,1,0
13,2016-01-09,149,38,2,2,1,1,0
14,2016-01-12,161,39,2,2,1,1,0
15,2016-01-13,169,42,2,3,1,1,0
16,2016-01-14,170,42,2,3,1,1,0
17,2016-01-15,182,48,2,4,2,2,0
18,2016-01-17,183,48,2,4,2,2,0
19,2016-01-18,218,51,2,4,2,2,0
20,2016-01-19,231,55,3,4,3,2,0
21,2016-01-20,268,55,7,4,7,2,0
22,2016-01-21,328,64,13,5,13,3,0
23,2016-01-22,376,72,15,6,15,3,0
24,2016-01-23,398,72,17,6,17,3,0
25,2016-01-24,414,74,20,6,20,3,0
26,2016-01-25,415,81,20,6,20,3,0
27,2016-01-27,422,84,20,6,20,3,0
28,2016-01-29,426,84,20,6,20,3,0
29,2016-01-30,429,84,20,7,20,3,1
30,2016-01-31,431,84,20,7,20,3,1
31,2016-02-01,445,86,20,7,20,3,1
32,2016-02-02,449,86,20,7,20,3,1
33,2016-02-03,449,100,20,7,20,3,1
34,2016-02-04,451,103,20,7,20,3,1
35,2016-02-05,457,113,20,7,20,3,1
36,2016-02-06,471,120,20,7,20,3,1
37,2016-02-07,472,120,20,7,20,3,1
38,2016-02-08,472,120,20,7,20,3,1
39,2016-02-09,474,120,20,7,20,3,1
40,2016-02-10,478,120,20,7,20,3,1
41,2016-02-11,480,120,20,7,20,3,1
42,2016-02-12,482,120,20,7,20,3,1
43,2016-02-13,487,121,20,7,20,3,1
44,2016-02-14,493,124,20,7,20,3,1
45,2016-02-15,499,124,20,7,20,3,1
46,2016-02-16,500,124,20,7,20,3,1
47,2016-02-17,501,127,20,7,20,3,1
48,2016-02-18,506,127,20,7,20,3,1
49,2016-02-19,510,128,20,7,20,3,1
50,2016-02-20,515,128,20,7,20,3,1
51,2016-02-21,526,128,20,7,20,3,1
52,2016-02-22,536,128,20,7,20,3,1
53,2016-02-24,544,133,20,7,20,3,1
54,2016-02-26,549,134,20,7,20,3,1
55,2016-02-27,552,141,20,7,20,3,1
56,2016-03-02,561,141,20,7,20,3,1
57,2016-03-04,580,145,20,7,20,3,1
58,2016-03-05,603,157,21,8,21,4,3
59,2016-03-09,612,162,21,8,21,4,3
60,2016-03-11,620,163,21,8,21,4,3
61,2016-03-12,621,163,21,8,21,4,3
62,2016-03-13,633,164,21,8,21,4,3
63,2016-03-14,640,165,22,9,22,5,4
64,2016-03-16,651,179,23,10,23,6,5
65,2016-03-17,654,184,23,10,23,6,5
66,2016-03-18,665,186,24,10,23,6,5
67,2016-03-19,668,186,24,10,23,6,5
68,2016-03-23,700,207,24,10,23,7,5
69,2016-03-26,706,219,24,10,23,7,5
70,2016-03-27,714,222,24,10,23,7,5
71,2016-03-28,720,230,25,11,24,7,5
72,2016-03-29,748,235,28,11,27,7,5
73,2016-03-30,781,237,31,11,30,7,5
74,2016-03-31,808,245,33,11,32,7,5
75,2016-04-01,837,245,36,11,35,7,5
76,2016-04-02,857,245,37,11,36,7,5
77,2016-04-03,861,245,38,11,37,7,5
78,2016-04-04,861,252,38,11,37,7,5
79,2016-04-07,863,262,38,11,37,7,5
80,2016-04-08,878,266,38,11,37,7,5
81,2016-04-09,880,266,38,11,37,7,5
82,2016-04-10,880,266,38,11,37,7,5
83,2016-04-11,883,272,38,12,37,7,5
84,2016-04-13,887,279,38,12,37,7,5
85,2016-04-14,893,288,38,12,37,7,5
86,2016-04-15,903,289,38,12,37,7,5
87,2016-04-16,907,304,38,12,37,7,5
88,2016-04-18,910,311,38,12,37,7,5
89,2016-04-20,928,315,38,12,37,7,5
90,2016-04-21,941,321,38,12,37,7,5
91,2016-04-22,956,322,38,12,37,7,5
92,2016-04-23,973,324,38,12,37,7,5
93,2016-04-24,982,327,38,12,37,7,5
94,2016-04-26,984,344,38,12,37,7,5
95,2016-04-27,1013,349,39,12,38,7,5
96,2016-04-29,1035,349,40,12,39,7,5
97,2016-04-30,1045,354,40,12,39,7,5
98,2016-05-01,1046,354,40,12,39,7,5
99,2016-05-02,1047,354,40,12,39,7,5
100,2016-05-03,1066,354,42,12,41,7,5
101,2016-05-04,1074,364,42,12,41,7,5
102,2016-05-05,1082,364,42,12,41,7,5
103,2016-05-09,1087,365,42,12,41,7,5
104,2016-05-11,1102,369,42,12,41,7,5
105,2016-05-12,1109,374,42,12,41,7,5
106,2016-05-14,1110,374,42,12,41,7,5
107,2016-05-15,1112,374,42,12,41,7,5
108,2016-05-17,1135,378,43,12,42,7,5
109,2016-05-18,1162,382,44,12,42,7,5
110,2016-05-20,1169,386,44,12,42,7,5
111,2016-05-21,1170,388,44,12,42,7,5
112,2016-05-22,1172,388,44,12,42,7,5
113,2016-05-23,1176,388,44,12,42,7,5
114,2016-05-24,1180,399,44,12,42,7,5
115,2016-05-25,1183,406,44,12,42,7,5
116,2016-05-26,1222,422,44,12,42,7,5
117,2016-05-29,1225,422,44,12,42,7,5
118,2016-05-30,1251,431,44,14,42,7,5
119,2016-06-01,1268,431,44,14,42,7,5
120,2016-06-02,1274,441,44,14,42,7,5
121,2016-06-03,1293,446,44,14,42,7,5
122,2016-06-04,1295,448,44,14,42,7,5
123,2016-06-05,1300,448,44,14,42,7,5
124,2016-06-06,1309,450,44,16,42,7,5
125,2016-06-07,1328,456,44,18,42,8,5
126,2016-06-08,1331,462,44,18,42,8,5
127,2016-06-09,1332,462,44,18,42,8,5
128,2016-06-10,1333,462,44,18,42,8,5
129,2016-06-11,1334,462,44,18,42,8,5
130,2016-06-12,1340,466,44,18,42,9,5
131,2016-06-13,1352,482,44,18,42,9,5
132,2016-06-15,1364,484,44,18,42,9,5
133,2016-06-17,1377,493,45,18,43,9,5
134,2016-06-18,1409,493,50,18,48,9,5
135,2016-06-19,1421,493,52,18,50,9,5
136,2016-06-20,1464,497,56,18,54,9,5
137,2016-06-21,1495,505,58,18,56,9,5
138,2016-06-22,1519,507,60,21,58,9,5
139,2016-06-24,1555,514,61,22,59,9,5
140,2016-06-29,1570,518,61,22,59,9,5
141,2016-06-30,1582,520,61,22,59,9,5
142,2016-07-01,1605,526,61,22,59,9,5
143,2016-07-06,1613,543,61,24,59,9,5
144,2016-07-07,1631,556,61,24,59,9,5
145,2016-07-11,1632,559,61,24,59,9,5
146,2016-07-12,1639,568,61,25,59,9,5
147,2016-07-13,1640,581,61,25,59,9,5
148,2016-07-14,1643,609,61,25,59,9,5
149,2016-07-23,1657,609,61,25,59,9,5
150,2016-07-26,1674,611,62,26,60,9,5
151,2016-07-28,1704,611,63,26,61,9,5
152,2016-07-29,1723,614,64,26,61,10,5
153,2016-07-31,1724,614,64,26,61,10,5
154,2016-08-02,1728,614,64,26,61,10,5
155,2016-08-03,1730,614,64,26,61,10,5
156,2016-08-05,1730,614,64,26,61,10,5
157,2016-08-07,1731,614,64,26,61,10,5
158,2016-08-08,1732,615,64,26,61,10,5
159,2016-08-09,1733,615,64,26,61,10,5
160,2016-08-11,1734,615,64,26,61,10,5
161,2016-08-12,1735,615,64,26,61,10,5
162,2016-08-13,1736,615,64,26,61,10,5
163,2016-08-14,1738,615,64,26,61,10,5
164,2016-08-15,1744,616,64,26,61,10,5
165,2016-08-16,1745,618,64,26,61,10,5
166,2016-08-17,1755,628,65,27,62,10,5
167,2016-08-18,1758,638,65,27,62,10,5
168,2016-08-19,1768,639,66,27,62,10,5
169,2016-08-21,1772,639,66,27,62,10,5
170,2016-08-22,1774,639,66,27,62,10,5
171,2016-08-23,1776,641,66,28,62,10,5
172,2016-08-24,1812,651,67,28,63,10,5
173,2016-08-26,1818,655,67,28,63,10,5
174,2016-08-27,1819,655,67,28,63,10,5
175,2016-08-29,1834,655,67,28,63,10,5
176,2016-08-30,1837,662,67,28,63,10,5
177,2016-08-31,1850,674,67,28,63,10,5
178,2016-09-03,1899,678,69,29,65,10,5
179,2016-09-04,1952,683,72,32,68,10,5
180,2016-09-05,1988,683,74,34,70,10,5
181,2016-09-06,2008,687,75,34,71,10,5
182,2016-09-07,2013,702,75,34,71,10,5
183,2016-09-08,2014,719,75,34,71,10,5
184,2016-09-10,2026,743,75,34,71,10,5
185,2016-09-11,2033,743,75,34,71,11,5
186,2016-09-12,2041,747,75,34,71,11,5
187,2016-09-13,2064,747,75,35,72,11,5
188,2016-09-14,2078,757,75,35,72,11,5
189,2016-09-16,2079,757,75,35,72,11,5
190,2016-09-18,2081,764,75,36,72,11,5
191,2016-09-20,2087,772,75,36,72,11,5
192,2016-09-22,2093,787,75,36,72,11,5
193,2016-09-23,2097,791,75,36,72,11,5
194,2016-09-25,2108,812,75,36,72,11,5
195,2016-09-27,2110,819,75,36,72,11,5
196,2016-09-30,2121,840,75,36,72,11,5
197,2016-10-01,2122,840,75,36,72,11,5
198,2016-10-02,2127,841,75,36,72,11,5
199,2016-10-03,2128,843,75,36,72,11,5
200,2016-10-04,2128,843,75,36,72,11,5
201,2016-10-05,2131,843,75,36,72,11,5
202,2016-10-06,2132,843,75,36,72,11,5
203,2016-10-07,2134,843,75,36,72,11,5
204,2016-10-08,2143,845,75,36,72,11,5
205,2016-10-09,2153,856,75,36,72,11,5
206,2016-10-11,2169,879,75,36,72,11,5
207,2016-10-14,2248,891,77,36,74,11,5
208,2016-10-16,2289,893,79,37,76,11,5
209,2016-10-17,2304,894,80,37,77,11,5
210,2016-10-18,2323,901,81,38,78,11,5
211,2016-10-21,2330,905,81,38,78,11,5
212,2016-10-22,2339,905,81,38,78,11,5
213,2016-10-26,2339,905,81,38,78,11,5
214,2016-12-27,2357,906,81,38,78,11,5
215,2016-12-28,2371,906,81,38,78,11,5
216,2016-12-29,2381,908,81,38,78,11,5
217,2016-12-30,2383,909,81,38,78,11,5
218,2016-12-31,2405,917,81,39,78,11,5
219,2017-01-01,2413,917,81,39,78,11,5
220,2017-01-03,2418,919,81,40,78,11,5
221,2017-01-04,2419,920,81,40,78,11,5
222,2017-01-05,2422,921,82,40,78,11,5
223,2017-01-06,2444,922,82,40,78,11,5
224,2017-01-08,2461,923,82,40,78,11,5
225,2017-01-09,2478,931,83,40,78,12,5
226,2017-01-10,2487,932,83,40,78,12,5
227,2017-01-11,2505,936,83,41,78,13,5
228,2017-01-12,2528,936,85,41,80,13,5
229,2017-01-13,2545,941,85,41,80,13,5
230,2017-01-14,2547,941,85,41,80,13,5
231,2017-01-15,2558,945,86,42,81,13,5
232,2017-01-16,2601,948,89,42,84,14,5
233,2017-01-17,2627,956,90,43,85,14,5
234,2017-01-18,2671,964,92,44,87,15,5
235,2017-01-19,2704,965,93,44,88,15,5
236,2017-01-20,2732,976,93,45,88,15,5
237,2017-01-21,2733,977,93,45,88,15,5
238,2017-01-22,2758,978,94,45,88,15,5
239,2017-01-24,2789,979,95,45,89,15,5
240,2017-01-26,2801,985,95,45,89,15,5
241,2017-01-27,2803,985,95,45,89,15,5
242,2017-01-28,2804,985,95,45,89,15,5
243,2017-01-29,2808,987,95,45,89,15,5
244,2017-01-30,2809,987,95,45,89,15,5
245,2017-01-31,2809,987,95,45,89,15,5
246,2017-02-01,2810,987,95,45,89,15,5
247,2017-02-02,2815,987,95,45,89,15,5
248,2017-02-03,2815,989,95,45,89,15,5
249,2017-02-04,2815,990,95,45,89,15,5
250,2017-02-05,2817,994,95,45,89,15,5
251,2017-02-06,2819,996,95,45,89,15,5
252,2017-02-07,2822,999,95,45,89,15,5
253,2017-02-08,2827,1002,95,45,89,15,5
254,2017-02-09,2828,1002,95,45,89,15,5
255,2017-02-10,2840,1003,95,46,89,15,5
256,2017-02-11,2841,1003,95,46,89,15,5
257,2017-02-12,2842,1003,95,46,89,15,5
258,2017-02-14,2847,1003,95,46,89,15,5
259,2017-02-15,2852,1004,95,46,89,15,5
260,2017-02-16,2859,1004,95,46,90,16,5
261,2017-02-17,2884,1008,96,46,91,16,6
262,2017-02-18,2885,1008,96,46,91,16,6
263,2017-02-19,2889,1008,96,46,91,16,6
264,2017-02-20,2891,1008,96,46,91,16,6
265,2017-02-21,2901,1021,96,46,91,17,6
266,2017-02-22,2925,1021,96,46,91,18,6
267,2017-02-23,2936,1029,96,46,91,18,6
268,2017-02-24,2946,1029,96,46,91,18,6
269,2017-02-25,2948,1029,96,46,91,18,6
270,2017-02-26,2953,1029,96,46,91,18,6
271,2017-02-27,2957,1032,96,46,91,18,6
272,2017-02-28,2973,1034,96,46,91,18,6
273,2017-03-01,2976,1035,96,46,91,18,6
274,2017-03-02,2977,1035,96,46,91,18,6
275,2017-03-03,2985,1036,96,46,91,18,6
276,2017-03-04,3003,1040,96,46,91,18,6
277,2017-03-05,3036,1055,97,47,92,19,8
278,2017-03-06,3059,1066,98,48,92,20,8
279,2017-03-07,3078,1071,98,48,92,20,8
280,2017-03-08,3109,1075,98,48,92,20,8
281,2017-03-09,3122,1080,98,49,92,20,8
282,2017-03-10,3144,1084,98,49,92,21,8
283,2017-03-11,3154,1084,98,49,92,21,8
284,2017-03-12,3165,1085,98,49,92,21,8
285,2017-03-13,3175,1086,99,50,93,23,9
286,2017-03-14,3178,1087,99,50,93,23,9
287,2017-03-15,3190,1089,100,51,94,24,10
288,2017-03-16,3207,1090,100,51,94,24,10
289,2017-03-17,3231,1104,100,52,94,24,10
290,2017-03-18,3235,1104,100,52,94,24,10
291,2017-03-19,3243,1104,100,52,94,24,10
292,2017-03-20,3244,1116,100,52,94,24,10
293,2017-03-21,3250,1123,100,53,94,24,10
294,2017-03-22,3253,1129,100,54,94,24,10
295,2017-03-23,3261,1151,100,54,94,24,10
296,2017-03-24,3272,1162,100,54,94,24,11
297,2017-03-25,3279,1177,100,54,94,24,11
298,2017-03-26,3282,1188,100,54,94,24,11
299,2017-03-27,3307,1206,100,56,94,24,11
300,2017-03-28,3319,1224,100,56,94,24,11
301,2017-03-29,3333,1245,100,56,94,24,11
302,2017-03-30,3348,1245,100,56,94,24,11
303,2017-03-31,3361,1255,100,56,94,24,11
304,2017-04-01,3371,1258,100,56,94,24,11
305,2017-04-02,3373,1258,100,56,94,24,11
306,2017-04-03,3383,1258,100,56,94,24,11
307,2017-04-04,3391,1261,101,57,95,24,11
308,2017-04-05,3411,1263,103,59,97,24,11
309,2017-04-06,3435,1264,104,60,98,24,11
310,2017-04-07,3465,1279,106,62,100,24,11
311,2017-04-08,3480,1281,107,64,101,24,11
312,2017-04-09,3511,1282,108,65,102,24,11
313,2017-04-10,3533,1293,108,65,102,24,11
314,2017-04-11,3538,1301,109,65,102,24,11
315,2017-04-12,3546,1310,109,65,102,24,11
316,2017-04-13,3554,1310,109,65,102,24,11
317,2017-04-14,3574,1310,109,65,102,24,11
318,2017-04-15,3587,1312,109,65,102,24,11
319,2017-04-16,3599,1314,109,65,102,25,11
320,2017-04-17,3602,1314,109,65,102,25,11
321,2017-04-18,3620,1327,109,65,102,25,11
322,2017-04-19,3625,1334,109,65,102,25,11
323,2017-04-20,3631,1334,109,65,102,25,11
324,2017-04-21,3670,1334,110,65,103,25,11
325,2017-04-23,3670,1334,110,65,103,25,11
326,2017-04-24,3682,1334,110,65,103,25,11
327,2017-04-25,3692,1335,110,65,103,25,11
328,2017-04-27,3698,1335,110,65,103,26,11
329,2017-04-28,3702,1343,110,65,103,26,11
330,2017-04-30,3703,1343,110,65,103,26,11
331,2017-05-01,3704,1343,110,65,103,26,11
332,2017-05-02,3710,1345,110,65,103,26,11
333,2017-05-03,3738,1346,111,65,104,26,11
334,2017-05-04,3748,1355,111,65,104,26,11
335,2017-05-05,3764,1355,111,65,104,26,11
336,2017-05-06,3771,1355,111,65,104,26,11
337,2017-05-07,3778,1356,111,65,104,26,11
338,2017-05-08,3781,1358,111,65,104,26,11
339,2017-05-09,3790,1369,111,65,104,26,11
340,2017-05-13,3825,1384,114,65,107,26,11
341,2017-05-15,3864,1392,116,67,109,26,11
342,2017-05-17,3895,1405,119,67,112,26,11
343,2017-05-20,3898,1405,119,67,112,26,11
344,2017-05-21,3910,1405,119,67,112,26,11
345,2017-05-22,3913,1407,119,67,112,26,11
346,2017-05-24,3941,1409,119,67,112,26,11
347,2017-05-25,3948,1413,119,67,112,26,11
348,2017-05-26,3960,1422,119,67,112,26,11
349,2017-05-27,3982,1427,119,67,112,26,11
350,2017-05-28,3986,1428,119,67,112,26,11
351,2017-05-29,3988,1428,119,67,112,26,11
352,2017-05-30,3989,1428,119,67,112,26,11
353,2017-05-31,3991,1430,119,67,112,26,11
354,2017-06-01,4001,1448,119,67,112,26,11
355,2017-06-04,4007,1468,119,67,112,26,11
356,2017-06-06,4025,1468,119,67,112,26,11
357,2017-06-07,4041,1471,120,67,113,26,11
358,2017-06-08,4071,1476,123,67,116,26,11
359,2017-06-09,4096,1477,126,67,119,26,12
360,2017-06-10,4118,1477,128,67,121,26,12
361,2017-06-12,4120,1493,128,67,121,26,12
362,2017-06-14,4130,1495,128,67,121,26,12
363,2017-06-15,4132,1496,128,67,121,26,12
364,2017-06-16,4132,1496,128,67,121,26,12
365,2017-06-17,4142,1500,128,67,121,26,12
366,2017-06-18,4151,1500,128,67,121,26,12
367,2017-06-21,4161,1505,128,67,121,27,12
368,2017-06-23,4164,1505,128,67,121,27,12
369,2017-06-24,4189,1506,129,68,122,27,12
370,2017-06-27,4202,1519,129,68,122,27,12
371,2017-07-01,4233,1519,132,68,125,27,12
372,2017-07-26,4233,1520,132,68,125,27,12
373,2017-07-31,4234,1520,132,68,125,27,12
374,2017-08-04,4234,1520,132,68,125,27,12
375,2017-08-07,4237,1521,132,68,125,27,12
376,2017-11-09,4243,1521,132,69,125,27,12
377,2017-11-16,4257,1544,132,69,125,27,12
378,2017-11-17,4279,1548,132,69,127,27,12
379,2017-11-21,4282,1553,132,69,127,27,12
380,2017-11-23,4294,1559,132,69,127,27,12
381,2017-11-28,4298,1572,132,69,127,27,12
382,2017-12-02,4317,1595,132,73,132,27,12
383,2017-12-07,4340,1599,132,73,132,27,12
384,2017-12-08,4340,1599,132,73,132,27,12
385,2017-12-12,4349,1611,132,75,132,27,12
386,2017-12-31,4351,1611,132,75,132,27,12
387,2018-01-02,4362,1611,132,75,132,27,12
388,2018-01-03,4369,1613,132,75,133,27,12
389,2018-01-04,4392,1619,132,75,133,27,12
390,2018-01-05,4398,1619,132,75,133,27,12
391,2018-01-06,4405,1619,132,75,133,27,12
392,2018-01-07,4409,1619,132,75,133,27,12
393,2018-01-08,4429,1626,132,78,137,27,12
394,2018-01-10,4440,1642,132,78,137,27,12
395,2018-01-11,4466,1654,133,79,138,30,13
396,2018-01-13,4497,1654,134,80,143,32,14
397,2018-01-14,4504,1654,134,80,143,32,14
398,2018-01-15,4524,1654,134,80,143,35,14
399,2018-01-16,4541,1657,134,84,144,35,14
400,2018-01-17,4560,1661,134,85,144,35,14
401,2018-01-18,4565,1661,134,85,144,35,14
402,2018-01-19,4578,1665,134,85,144,35,14
403,2018-01-20,4590,1665,135,86,145,35,14
404,2018-01-21,4596,1665,135,86,145,35,14
405,2018-01-22,4627,1676,135,88,145,35,14
406,2018-01-23,4644,1682,135,90,146,35,14
407,2018-01-24,4656,1686,135,91,146,35,14
408,2018-01-25,4669,1690,135,91,146,38,14
409,2018-01-26,4671,1691,135,91,146,38,14
410,2018-01-28,4692,1696,135,91,146,38,14
411,2018-01-29,4702,1696,139,95,146,38,14
412,2018-01-30,4718,1696,139,95,146,38,14
413,2018-01-31,4731,1707,139,100,146,38,14
414,2018-02-01,4745,1711,139,100,146,38,14
415,2018-02-04,4751,1711,139,100,146,38,14
416,2018-02-05,4761,1717,139,100,148,38,14
417,2018-02-06,4779,1717,139,105,149,38,15
418,2018-02-07,4795,1723,139,110,149,38,15
419,2018-02-08,4805,1723,139,110,149,38,15
420,2018-02-09,4810,1727,139,114,149,38,16
421,2018-02-10,4819,1727,139,118,149,38,23
422,2018-02-11,4827,1727,139,124,149,38,23
423,2018-02-12,4854,1728,139,124,149,40,23
424,2018-02-13,4903,1743,139,124,156,40,23
425,2018-02-14,4928,1745,140,126,157,41,24
426,2018-02-16,4935,1745,140,126,157,41,24
427,2018-02-17,4939,1745,140,126,157,41,24
428,2018-02-18,4945,1745,140,126,157,41,24
429,2018-02-19,4953,1745,140,126,157,41,24
430,2018-02-20,4963,1745,140,126,157,41,24
431,2018-02-22,4972,1745,140,126,157,41,24
432,2018-02-23,4979,1745,140,129,157,41,24
433,2018-02-24,4992,1747,142,131,158,43,26
434,2018-02-25,5000,1747,142,131,158,43,26
435,2018-02-26,5011,1747,142,131,158,43,26
436,2018-02-27,5016,1751,142,131,158,43,26
437,2018-02-28,5023,1751,142,131,158,43,26
438,2018-03-01,5063,1758,144,133,160,45,28
439,2018-03-02,5083,1761,146,138,163,47,30
440,2018-03-03,5096,1762,147,140,164,48,31
441,2018-03-04,5117,1767,154,144,169,52,34
442,2018-03-10,5144,1769,157,145,169,53,34
443,2018-03-12,5175,1769,159,150,172,55,35
444,2018-03-13,5193,1772,160,151,173,56,36
445,2018-03-14,5202,1773,160,160,173,56,36
446,2018-03-15,5218,1774,162,175,174,57,37
447,2018-03-18,5249,1785,166,176,175,58,38
448,2018-03-19,5281,1790,169,177,176,59,42
449,2018-03-20,5299,1799,173,177,176,59,43
450,2018-03-21,5332,1799,182,181,176,59,43
451,2018-03-22,5361,1804,182,181,176,59,43
452,2018-03-23,5386,1810,186,181,176,63,43
453,2018-03-24,5392,1810,186,182,176,63,43
454,2018-03-25,5397,1810,186,182,176,63,47
455,2018-03-26,5407,1817,186,182,176,63,47
456,2018-03-28,5434,1821,190,186,178,63,48
457,2018-03-29,5449,1823,190,189,178,63,48
458,2018-03-30,5456,1827,193,189,178,63,48
459,2018-03-31,5472,1827,193,193,178,63,54
460,2018-04-01,5472,1827,193,193,178,63,54
461,2018-04-02,5485,1829,194,195,180,64,56
462,2018-04-03,5502,1831,194,195,180,64,62
463,2018-04-04,5509,1839,197,199,180,64,62
464,2018-04-05,5512,1839,197,199,180,64,62
465,2018-04-06,5516,1839,197,199,180,64,62
466,2018-04-07,5520,1839,197,199,180,64,62
467,2018-04-08,5541,1850,197,199,180,64,62
468,2018-04-09,5553,1863,202,199,180,64,66
469,2018-04-10,5604,1863,202,199,182,64,68
470,2018-04-11,5644,1872,202,199,182,64,68
471,2018-04-12,5674,1887,205,199,182,64,68
472,2018-04-13,5712,1888,205,199,184,64,68
473,2018-04-14,5724,1888,205,204,184,64,68
474,2018-04-15,5748,1888,205,204,184,64,68
475,2018-04-16,5765,1891,205,204,184,64,73
476,2018-04-17,5777,1892,208,204,184,64,73
477,2018-04-18,5787,1894,208,204,184,64,73
478,2018-04-19,5805,1894,208,204,184,64,73
479,2018-04-20,5812,1895,208,206,184,64,77
480,2018-04-22,5827,1895,208,206,184,64,77
481,2018-04-23,5856,1897,213,206,184,64,77
482,2018-04-24,5889,1897,218,213,184,64,81
483,2018-04-25,5898,1899,222,213,184,64,81
484,2018-04-26,5927,1905,224,213,184,64,83
485,2018-04-27,5952,1910,236,219,184,65,84
486,2018-04-28,5992,1910,236,220,184,65,84
487,2018-04-29,6001,1910,236,220,184,65,84
488,2018-04-30,6008,1910,236,220,184,65,84
489,2018-05-01,6013,1910,236,220,184,65,84
490,2018-05-02,6040,1914,236,223,185,65,84
491,2018-05-03,6050,1914,240,223,185,65,84
492,2018-05-04,6073,1915,243,224,187,66,85
493,2018-05-05,6079,1915,243,224,187,66,85
494,2018-05-06,6085,1917,243,224,190,66,85
495,2018-05-07,6101,1937,248,224,190,66,90
496,2018-05-08,6121,1950,248,224,191,66,90
497,2018-05-09,6128,1969,248,224,191,66,90
498,2018-05-10,6133,1985,248,224,191,66,90
499,2018-05-11,6150,2006,248,226,192,66,98
500,2018-05-12,6161,2020,256,226,192,66,98
501,2018-05-13,6164,2020,261,226,192,66,98
502,2018-05-14,6182,2024,261,229,192,71,98
503,2018-05-15,6213,2025,261,231,193,71,106
504,2018-05-16,6243,2027,270,231,194,71,106
505,2018-05-17,6259,2027,270,234,194,71,106
506,2018-05-18,6275,2028,279,234,194,71,110
507,2018-05-19,6297,2032,279,235,195,72,110
508,2018-05-20,6313,2032,279,235,195,72,110
509,2018-05-21,6324,2032,279,235,195,72,110
510,2018-05-22,6342,2040,281,235,195,72,110
511,2018-05-23,6355,2044,281,240,195,73,115
512,2018-05-24,6367,2056,286,246,197,75,117
513,2018-05-26,6376,2056,286,246,197,75,117
514,2018-05-27,6379,2056,286,246,197,75,117
515,2018-05-28,6410,2057,286,250,198,75,118
516,2018-05-29,6439,2059,293,250,198,75,123
517,2018-05-30,6458,2064,293,253,201,75,123
518,2018-05-31,6474,2070,293,253,201,78,123
519,2018-06-01,6488,2070,296,253,201,78,127
520,2018-06-02,6503,2071,296,253,201,78,132
521,2018-06-03,6509,2071,296,253,201,78,132
522,2018-06-04,6517,2071,296,258,201,78,132
523,2018-06-05,6525,2085,304,258,201,78,136
524,2018-06-08,6538,2088,307,260,201,78,138
525,2018-06-09,6564,2088,307,260,201,78,138
526,2018-06-10,6618,2088,307,260,201,78,138
527,2018-06-11,6650,2095,310,260,201,78,143
528,2018-06-12,6667,2105,310,260,201,78,143
529,2018-06-13,6678,2108,310,260,201,78,143
530,2018-06-14,6737,2108,310,269,201,78,143
531,2018-06-15,6790,2110,314,269,201,78,143
532,2018-06-16,6800,2110,314,269,201,78,143
533,2018-06-17,6804,2110,314,279,201,78,143
534,2018-06-18,6809,2110,314,279,201,78,143
535,2018-06-19,6836,2115,324,279,203,78,143
536,2018-06-20,6859,2117,336,287,203,78,147
537,2018-06-22,6871,2117,338,287,203,78,147
538,2018-06-23,6901,2119,339,288,204,79,148
539,2018-06-24,6919,2119,339,291,204,79,148
540,2018-06-25,6937,2138,344,295,206,81,150
541,2018-06-26,6959,2144,345,298,211,82,154
542,2018-06-27,6971,2146,350,303,211,82,154
543,2018-06-28,6986,2153,350,305,211,82,158
544,2018-06-29,6999,2157,350,305,211,82,161
545,2018-06-30,7010,2159,350,305,211,82,164
546,2018-07-01,7019,2159,350,305,211,82,164
547,2018-07-02,7030,2159,352,305,212,82,164
548,2018-07-03,7036,2160,352,313,212,82,164
549,2018-07-05,7049,2166,358,316,212,82,164
550,2018-07-06,7074,2185,358,317,213,82,165
551,2018-07-07,7081,2203,358,317,213,82,165
552,2018-07-09,7101,2221,366,317,213,82,169
553,2018-07-10,7121,2239,373,318,213,82,169
554,2018-07-11,7129,2256,373,318,213,82,174
555,2018-07-12,7140,2256,373,318,213,82,174
556,2018-07-13,7159,2259,373,322,214,82,175
557,2018-07-14,7162,2259,373,322,214,82,175
558,2018-07-15,7167,2259,373,322,214,82,175
559,2018-07-16,7189,2269,373,322,214,82,175
560,2018-07-17,7201,2271,374,322,214,82,175
